epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7327,1.11159,1.30414,0.0018,0.627,0.64068,0.65864,0.50834,0.99425,1.18305,0.00234,0.000657534,0.000657534,0.000657534
2,73.1901,1.14473,1.20107,0.00189,0.6134,0.5948,0.63019,0.48957,0.99891,2.28159,0.00246,0.00125865,0.00125865,0.00125865
3,101.792,1.1528,1.17857,0.00191,0.62956,0.65685,0.67792,0.51312,1.08182,1.16327,0.00262,0.00179377,0.00179377,0.00179377
4,133.057,1.17178,1.15274,0.00192,0.6474,0.5932,0.65552,0.50663,0.97809,1.18216,0.00235,0.001703,0.001703,0.001703
5,161.085,1.1468,1.08572,0.00184,0.65459,0.61455,0.66447,0.517,nan,nan,nan,0.001604,0.001604,0.001604
6,192.286,1.09776,1.10133,0.00175,0.69931,0.62543,0.71045,0.56358,0.94597,1.0597,0.00224,0.001505,0.001505,0.001505
7,225.134,1.06304,1.06416,0.0017,0.70043,0.62845,0.71553,0.57489,0.89737,1.08439,0.00213,0.001406,0.001406,0.001406
8,256.645,1.02337,1.06304,0.00161,0.69611,0.63322,0.72093,0.57761,0.90203,0.98561,0.00209,0.001307,0.001307,0.001307
9,288.099,0.99415,1.01673,0.00163,0.70675,0.67157,0.73824,0.58985,0.88624,0.96175,0.00212,0.001208,0.001208,0.001208
10,319.166,1.00309,1.02463,0.00159,0.72494,0.6498,0.74334,0.61395,0.816,0.9144,0.00191,0.001109,0.001109,0.001109
11,353.262,0.91273,0.95499,0.00162,0.70603,0.65851,0.74037,0.60475,0.84057,0.93724,0.002,0.00101,0.00101,0.00101
12,382.095,0.92997,0.92694,0.00165,0.7417,0.66245,0.75578,0.61667,0.83298,0.89177,0.00195,0.000911,0.000911,0.000911
13,413.25,0.88436,0.91391,0.00153,0.73246,0.65996,0.75157,0.61646,0.82112,0.90005,0.00193,0.000812,0.000812,0.000812
14,442.148,0.83488,0.90292,0.00147,0.76744,0.66287,0.76312,0.63568,0.77646,0.85811,0.0018,0.000713,0.000713,0.000713
15,473.557,0.81864,0.85362,0.00143,0.75243,0.67807,0.76996,0.64029,0.77995,0.8582,0.00183,0.000614,0.000614,0.000614
16,505.682,0.81474,0.86591,0.0014,0.7505,0.66763,0.76516,0.64863,0.72435,0.98358,0.00168,0.000515,0.000515,0.000515
17,537.672,0.78644,0.86587,0.00133,0.76192,0.68028,0.77648,0.65912,0.72193,0.922,0.00166,0.000416,0.000416,0.000416
18,569.382,0.77274,0.83558,0.00137,0.7835,0.67908,0.78688,0.66768,0.71728,0.81395,0.00164,0.000317,0.000317,0.000317
19,602.023,0.73375,0.80711,0.00126,0.78323,0.68173,0.78944,0.67782,0.69088,0.79641,0.00158,0.000218,0.000218,0.000218
20,634.707,0.73133,0.79292,0.00126,0.7688,0.69359,0.78966,0.67901,0.68574,0.78534,0.00156,0.000119,0.000119,0.000119
